epis;QTable;steps;cumReward;discountedRew;
100;58703.666666666664;69;556.1444904736388;293.2843059266258;
200;98940.66666666667;99;551.7629936490926;325.7717687772039;
300;132240.33333333334;39;547.3814968245463;327.24705725406983;
400;160341.33333333334;22;600.0;371.4008989131513;
500;183743.66666666666;11;600.0;395.32684401000006;
600;204516.33333333334;11;600.0;395.32684401000006;
700;225604.0;9;600.0;403.50572100000005;
800;242191.66666666666;9;600.0;403.50572100000005;
900;257851.33333333334;9;600.0;403.50572100000005;
1000;272618.6666666667;9;600.0;403.50572100000005;
1100;284854.0;7;600.0;414.4131000000001;
1200;295228.0;9;600.0;403.50572100000005;
1300;308089.3333333333;9;600.0;403.50572100000005;
1400;322752.6666666667;9;600.0;403.50572100000005;
1500;336372.3333333333;9;600.0;403.50572100000005;
1600;348170.0;9;600.0;403.50572100000005;
1700;363941.6666666667;9;600.0;403.50572100000005;
1800;372489.0;9;600.0;403.50572100000005;
1900;382361.0;9;600.0;403.50572100000005;
2000;392557.0;9;600.0;403.50572100000005;
2100;399778.3333333333;7;600.0;414.4131000000001;
2200;406556.3333333333;7;600.0;414.4131000000001;
2300;416770.6666666667;9;600.0;403.50572100000005;
2400;422246.3333333333;7;600.0;414.4131000000001;
2500;431005.3333333333;7;600.0;414.4131000000001;
2600;439638.6666666667;7;600.0;414.4131000000001;
2700;447019.6666666667;7;600.0;414.4131000000001;
2800;453944.0;9;600.0;403.50572100000005;
2900;460384.0;9;600.0;403.50572100000005;
3000;466197.6666666667;7;600.0;414.4131000000001;
3100;471150.3333333333;7;600.0;414.4131000000001;
3200;476173.3333333333;9;600.0;403.50572100000005;
3300;481261.6666666667;9;600.0;403.50572100000005;
3400;485911.6666666667;9;600.0;403.50572100000005;
3500;491948.0;7;600.0;414.4131000000001;
3600;496356.3333333333;7;600.0;414.4131000000001;
3700;500633.6666666667;9;600.0;403.50572100000005;
3800;505086.3333333333;7;600.0;414.4131000000001;
3900;509486.6666666667;7;600.0;414.4131000000001;
4000;514801.6666666667;9;600.0;403.50572100000005;
4100;519139.0;7;600.0;414.4131000000001;
4200;522650.3333333333;9;600.0;403.50572100000005;
4300;525294.6666666666;7;600.0;414.4131000000001;
4400;530400.6666666666;9;600.0;403.50572100000005;
4500;532899.0;7;600.0;414.4131000000001;
4600;536001.6666666666;9;600.0;403.50572100000005;
4700;539998.0;7;600.0;414.4131000000001;
4800;544254.6666666666;7;600.0;414.4131000000001;
4900;547851.0;8;600.0;408.2886900000001;
5000;552887.6666666666;8;600.0;408.2886900000001;
