epis;QTable;steps;cumReward;discountedRew;
100;85240.66666666667;127;569.1590124278824;4.353088144667742;
200;158657.0;177;525.3035029015213;91.51993336553525;
300;236186.0;288;600.0;106.13904535850567;
400;312933.0;110;541.525987298185;127.12477948964711;
500;388419.6666666667;226;512.1814968245462;105.45241214082331;
600;459314.6666666667;438;532.7629936490926;94.21952524905704;
700;531166.6666666666;154;600.0;122.81391749198444;
800;602040.6666666666;99;519.3180248557649;93.65129808390435;
900;679118.6666666666;174;554.5405092524287;115.62040994015351;
1000;747180.0;94;572.9;136.71291040754406;
1100;814488.3333333334;59;556.1444904736387;139.0966719679898;
1200;882717.6666666666;220;505.6629936490925;55.247829293930565;
1300;952546.3333333334;356;570.7629936490926;65.96713641173982;
1400;1019290.3333333334;68;585.3814968245463;145.4633936423523;
1500;1085113.3333333333;100;570.7629936490926;78.5883076639866;
1600;1156308.3333333333;89;566.3814968245463;47.69961469630793;
1700;1221677.6666666667;101;541.525987298185;223.1918757225819;
1800;1288174.3333333333;73;556.1444904736388;3.29969541457162;
1900;1352494.6666666667;172;566.3814968245463;108.99791028798379;
2000;1418728.0;93;544.4304968245463;127.54003757493938;
2100;1478987.3333333333;92;581.0;191.1041553813898;
2200;1544255.0;313;585.3814968245463;156.9161945672279;
2300;1605482.6666666667;316;553.9;100.98266095886868;
2400;1659778.3333333333;99;556.1444904736387;102.40563236885784;
2500;1716406.6666666667;55;570.7629936490926;104.99728180839162;
2600;1777804.6666666667;90;554.5405092524287;109.31640364097017;
2700;1837877.3333333333;268;543.6629936490925;230.3440315996018;
2800;1900554.3333333333;108;585.3814968245463;107.83420917397059;
2900;1957316.6666666667;38;543.6629936490925;209.20925660210418;
3000;2009752.0;66;570.7629936490926;101.818093256335;
3100;2070821.0;164;516.5405092524287;194.59807282480858;
3200;2127048.3333333335;54;570.7629936490926;338.19477313143864;
3300;2180180.3333333335;206;537.1444904736388;88.07338503038851;
3400;2236747.6666666665;131;570.7629936490926;101.20690844655189;
3500;2298342.6666666665;211;566.3814968245463;91.47917484406537;
3600;2354341.6666666665;112;570.7629936490926;171.16684965061904;
3700;2405858.6666666665;438;556.1444904736388;66.38774032682453;
3800;2467721.3333333335;170;556.1444904736388;32.4751510715452;
3900;2518122.0;102;600.0;217.83581514860296;
4000;2574404.6666666665;110;520.922006076975;121.41616072529848;
4100;2634068.0;461;543.6629936490925;203.00184227554882;
4200;2688786.3333333335;330;562.0;105.78282125160011;
4300;2742790.3333333335;65;570.7629936490926;322.1997451886494;
4400;2794381.0;210;566.3814968245463;111.45213521140887;
4500;2851278.6666666665;71;570.7629936490926;187.04390434489818;
4600;2910778.3333333335;97;539.922006076975;53.20925612606003;
4700;2964901.6666666665;53;570.7629936490926;169.02795795243983;
4800;3016397.3333333335;101;570.7629936490926;220.0146119710642;
4900;3067380.3333333335;116;516.5629936490925;318.20537417626366;
5000;3117442.0;117;554.5405092524287;193.6353801274662;
