epis;QTable;steps;cumReward;discountedRew;
100;1692623.3333333333;145;585.3814968245463;175.61187166048492;
200;3095816.3333333335;197;481.9810185048574;169.61291652980543;
300;4364576.333333333;131;516.5629936490925;153.87717270173476;
400;5498215.0;104;537.1444904736387;206.15429053159104;
500;6653529.333333333;195;570.7629936490926;241.33038630160328;
600;7596150.0;177;539.922006076975;126.7019607187381;
700;8444721.333333334;129;600.0;171.53268499447069;
800;9230357.0;199;524.6629936490925;196.13487735093148;
900;9974425.0;156;570.7629936490926;261.86568378182545;
1000;1.0670756666666666E7;109;570.7629936490926;300.292412634009;
1100;1.1272849666666666E7;244;572.9;100.00015180976374;
1200;1.1871401666666666E7;65;543.6629936490925;277.2079263566119;
