epis;QTable;steps;cumReward;discountedReward;
100;220793;345;581.0;147.2;
200;384378;999;200.0;146.6;
300;506910;999;300.0;194.4;
400;608619;999;300.0;194.4;
500;689096;999;300.0;194.4;
600;755559;193;600.0;215.0;
700;815183;999;400.0;215.0;
800;863704;999;400.0;215.0;
900;910189;999;400.0;215.0;
1000;946953;29;600.0;227.4;
1100;970498;29;600.0;227.4;
1200;991627;29;600.0;227.4;
1300;1018504;29;600.0;227.4;
1400;1044128;29;600.0;227.4;
1500;1062616;29;600.0;227.4;
1600;1090297;29;600.0;227.4;
1700;1112178;29;600.0;227.4;
1800;1132969;27;600.0;232.6;
1900;1149370;27;600.0;232.6;
2000;1165736;27;600.0;232.6;
2100;1180644;27;600.0;241.6;
2200;1201307;27;600.0;241.6;
2300;1215350;27;600.0;241.6;
2400;1227234;27;600.0;241.6;
2500;1247348;27;600.0;241.6;
2600;1261978;27;600.0;241.6;
2700;1277497;27;600.0;241.6;
2800;1285944;27;600.0;241.6;
2900;1294426;27;600.0;241.6;
3000;1301950;27;600.0;241.6;
3100;1315889;27;600.0;241.6;
3200;1329913;999;200.0;155.6;
3300;1340290;27;600.0;241.6;
3400;1352361;27;600.0;241.6;
3500;1361505;27;600.0;241.6;
3600;1370580;29;600.0;225.3;
3700;1381081;29;600.0;225.3;
3800;1401087;29;600.0;234.4;
3900;1411319;29;600.0;234.4;
4000;1427766;29;600.0;234.4;
4100;1443237;29;600.0;234.4;
4200;1457288;29;600.0;234.4;
4300;1468799;29;600.0;234.4;
4400;1477859;29;600.0;234.4;
4500;1485497;29;600.0;234.4;
4600;1495229;29;600.0;234.4;
4700;1500185;29;600.0;234.4;
4800;1510880;29;600.0;234.4;
4900;1517520;29;600.0;234.4;
5000;1525422;29;600.0;234.4;
