epis;QTable;steps;cumReward;discountedRew;
2;4790.0;43;3.0;0.20892669561928442;
4;8340.0;39;3.0;0.3703218395132507;
6;10890.0;117;3.0;0.001210501737499732;
8;12015.0;59;3.0;0.01927842800788978;
10;13285.0;104;3.0;0.10946491379018906;
12;13410.0;24;3.0;0.8948240164935244;
14;14210.0;15;3.0;1.2722884135496104;
16;14385.0;15;3.0;1.2722884135496104;
18;16360.0;15;3.0;1.2722884135496104;
20;17385.0;15;3.0;1.2722884135496104;
22;17785.0;15;3.0;1.2722884135496104;
24;17785.0;15;3.0;1.2722884135496104;
26;17835.0;15;3.0;1.2722884135496104;
28;17835.0;15;3.0;1.2722884135496104;
30;17835.0;15;3.0;1.2722884135496104;
32;17860.0;15;3.0;1.2722884135496104;
34;17860.0;15;3.0;1.2722884135496104;
36;17860.0;15;3.0;1.2722884135496104;
38;17860.0;15;3.0;1.2722884135496104;
40;17860.0;15;3.0;1.2722884135496104;
42;17860.0;15;3.0;1.2722884135496104;
44;17860.0;15;3.0;1.2722884135496104;
46;17860.0;15;3.0;1.2722884135496104;
48;18110.0;15;3.0;1.2722884135496104;
50;18110.0;15;3.0;1.2722884135496104;
52;18110.0;15;3.0;1.2722884135496104;
54;18110.0;15;3.0;1.2722884135496104;
56;18110.0;15;3.0;1.2722884135496104;
58;18110.0;15;3.0;1.2722884135496104;
60;18110.0;15;3.0;1.2722884135496104;
62;18110.0;15;3.0;1.2722884135496104;
64;18110.0;15;3.0;1.2722884135496104;
66;18110.0;15;3.0;1.2722884135496104;
68;18110.0;15;3.0;1.2722884135496104;
70;18235.0;15;3.0;1.2722884135496104;
72;18235.0;15;3.0;1.2722884135496104;
74;18235.0;15;3.0;1.2722884135496104;
76;18235.0;15;3.0;1.2722884135496104;
78;18235.0;15;3.0;1.2722884135496104;
80;19110.0;15;3.0;1.2722884135496104;
82;19110.0;15;3.0;1.2722884135496104;
84;19110.0;15;3.0;1.2722884135496104;
86;19110.0;15;3.0;1.2722884135496104;
88;19110.0;15;3.0;1.2722884135496104;
90;19135.0;15;3.0;1.2722884135496104;
92;19135.0;15;3.0;1.2722884135496104;
94;19135.0;15;3.0;1.2722884135496104;
96;19135.0;15;3.0;1.2722884135496104;
98;19135.0;15;3.0;1.2722884135496104;
100;19135.0;15;3.0;1.2722884135496104;
102;19135.0;15;3.0;1.2722884135496104;
104;19135.0;15;3.0;1.2722884135496104;
106;19135.0;15;3.0;1.2722884135496104;
108;19135.0;15;3.0;1.2722884135496104;
110;19135.0;15;3.0;1.2722884135496104;
112;19135.0;15;3.0;1.2722884135496104;
114;19135.0;15;3.0;1.2722884135496104;
116;19135.0;15;3.0;1.2722884135496104;
118;19135.0;15;3.0;1.2722884135496104;
120;19135.0;15;3.0;1.2722884135496104;
122;19135.0;15;3.0;1.2722884135496104;
124;19135.0;15;3.0;1.2722884135496104;
126;19135.0;15;3.0;1.2722884135496104;
128;19135.0;15;3.0;1.2722884135496104;
130;19135.0;15;3.0;1.2722884135496104;
132;19135.0;15;3.0;1.2722884135496104;
134;19135.0;14;3.0;1.3407537928329005;
136;19135.0;14;3.0;1.3407537928329005;
138;19135.0;14;3.0;1.3407537928329005;
140;19135.0;14;3.0;1.3407537928329005;
142;19135.0;14;3.0;1.3407537928329005;
144;19135.0;14;3.0;1.3407537928329005;
146;19135.0;14;3.0;1.3407537928329005;
148;19260.0;14;3.0;1.3407537928329005;
150;19385.0;14;3.0;1.3407537928329005;
152;19385.0;14;3.0;1.3407537928329005;
154;19385.0;14;3.0;1.3407537928329005;
156;19385.0;14;3.0;1.3407537928329005;
158;19385.0;14;3.0;1.3407537928329005;
160;19385.0;14;3.0;1.3407537928329005;
162;19385.0;14;3.0;1.3407537928329005;
164;19385.0;14;3.0;1.3407537928329005;
166;19385.0;14;3.0;1.3407537928329005;
168;19385.0;14;3.0;1.3407537928329005;
170;19885.0;14;3.0;1.3407537928329005;
172;19885.0;14;3.0;1.3407537928329005;
174;19885.0;14;3.0;1.3407537928329005;
176;19885.0;14;3.0;1.3407537928329005;
178;19885.0;14;3.0;1.3407537928329005;
180;20135.0;14;3.0;1.3407537928329005;
182;20135.0;14;3.0;1.3407537928329005;
184;20135.0;14;3.0;1.3407537928329005;
186;20385.0;14;3.0;1.3407537928329005;
188;20385.0;14;3.0;1.3407537928329005;
190;20385.0;14;3.0;1.3407537928329005;
192;20385.0;14;3.0;1.3407537928329005;
194;20385.0;14;3.0;1.3407537928329005;
196;20385.0;14;3.0;1.3407537928329005;
198;20385.0;14;3.0;1.3407537928329005;
200;20385.0;14;3.0;1.3407537928329005;
202;20385.0;14;3.0;1.3407537928329005;
204;20385.0;14;3.0;1.3407537928329005;
206;20385.0;14;3.0;1.3407537928329005;
208;20385.0;14;3.0;1.3407537928329005;
210;20385.0;14;3.0;1.3407537928329005;
212;20385.0;14;3.0;1.3407537928329005;
214;20385.0;14;3.0;1.3407537928329005;
216;20385.0;14;3.0;1.3407537928329005;
218;20385.0;14;3.0;1.3407537928329005;
220;20385.0;14;3.0;1.3407537928329005;
222;20385.0;14;3.0;1.3407537928329005;
224;20385.0;14;3.0;1.3407537928329005;
226;20385.0;14;3.0;1.3407537928329005;
228;20385.0;14;3.0;1.3407537928329005;
230;20385.0;13;3.0;1.3689967464810004;
232;20385.0;13;3.0;1.3689967464810004;
234;20385.0;13;3.0;1.3689967464810004;
236;20385.0;13;3.0;1.3689967464810004;
238;20385.0;13;3.0;1.3689967464810004;
240;20385.0;13;3.0;1.3689967464810004;
242;20385.0;13;3.0;1.3689967464810004;
244;20385.0;13;3.0;1.3689967464810004;
246;22135.0;13;3.0;1.3689967464810004;
248;22135.0;13;3.0;1.3689967464810004;
250;22135.0;13;3.0;1.3689967464810004;
252;22135.0;13;3.0;1.3689967464810004;
254;22135.0;13;3.0;1.3689967464810004;
256;22135.0;13;3.0;1.3689967464810004;
258;22135.0;13;3.0;1.3689967464810004;
260;22135.0;13;3.0;1.3689967464810004;
262;22135.0;13;3.0;1.3689967464810004;
264;22135.0;13;3.0;1.3689967464810004;
266;22135.0;13;3.0;1.3689967464810004;
268;22135.0;13;3.0;1.3689967464810004;
270;22135.0;13;3.0;1.3689967464810004;
272;22260.0;13;3.0;1.3689967464810004;
274;22260.0;13;3.0;1.3689967464810004;
276;22260.0;13;3.0;1.3689967464810004;
278;22260.0;13;3.0;1.3689967464810004;
280;22260.0;13;3.0;1.3689967464810004;
282;22260.0;13;3.0;1.3689967464810004;
284;22260.0;13;3.0;1.3689967464810004;
286;22260.0;13;3.0;1.3689967464810004;
288;22260.0;13;3.0;1.3689967464810004;
290;22260.0;13;3.0;1.3689967464810004;
292;22260.0;13;3.0;1.3689967464810004;
294;22260.0;13;3.0;1.3689967464810004;
296;22260.0;13;3.0;1.3689967464810004;
298;22510.0;13;3.0;1.3689967464810004;
300;22510.0;13;3.0;1.3689967464810004;
302;22510.0;13;3.0;1.3689967464810004;
304;22510.0;13;3.0;1.3689967464810004;
306;22510.0;13;3.0;1.3689967464810004;
308;22510.0;13;3.0;1.3689967464810004;
310;22510.0;13;3.0;1.3689967464810004;
312;22510.0;13;3.0;1.3689967464810004;
314;22510.0;13;3.0;1.3689967464810004;
316;22510.0;13;3.0;1.3689967464810004;
318;22510.0;13;3.0;1.3689967464810004;
320;22510.0;13;3.0;1.3689967464810004;
322;22510.0;13;3.0;1.3689967464810004;
324;22510.0;13;3.0;1.3689967464810004;
326;22510.0;13;3.0;1.3689967464810004;
328;22510.0;13;3.0;1.3689967464810004;
330;22510.0;13;3.0;1.3689967464810004;
332;22510.0;13;3.0;1.3689967464810004;
334;22510.0;13;3.0;1.3689967464810004;
336;22510.0;13;3.0;1.3689967464810004;
338;22510.0;13;3.0;1.3689967464810004;
340;22510.0;13;3.0;1.3689967464810004;
342;22510.0;13;3.0;1.3689967464810004;
344;22510.0;13;3.0;1.3689967464810004;
346;22510.0;13;3.0;1.3689967464810004;
348;22510.0;13;3.0;1.3689967464810004;
350;22510.0;13;3.0;1.3689967464810004;
352;22510.0;13;3.0;1.3689967464810004;
354;22510.0;13;3.0;1.3689967464810004;
356;22510.0;13;3.0;1.3689967464810004;
358;22510.0;13;3.0;1.3689967464810004;
360;22510.0;13;3.0;1.3689967464810004;
362;22510.0;13;3.0;1.3689967464810004;
364;22510.0;13;3.0;1.3689967464810004;
366;22510.0;13;3.0;1.3689967464810004;
368;22510.0;13;3.0;1.3689967464810004;
370;22510.0;13;3.0;1.3689967464810004;
372;22510.0;13;3.0;1.3689967464810004;
374;22510.0;13;3.0;1.3689967464810004;
376;22510.0;13;3.0;1.3689967464810004;
378;22510.0;13;3.0;1.3689967464810004;
380;22510.0;13;3.0;1.3689967464810004;
382;22510.0;13;3.0;1.3689967464810004;
384;22510.0;13;3.0;1.3689967464810004;
386;22510.0;13;3.0;1.3689967464810004;
388;22510.0;13;3.0;1.3689967464810004;
390;22510.0;13;3.0;1.3689967464810004;
392;22510.0;13;3.0;1.3689967464810004;
394;22510.0;13;3.0;1.3689967464810004;
396;22510.0;13;3.0;1.3689967464810004;
398;22510.0;13;3.0;1.3689967464810004;
400;22510.0;13;3.0;1.3689967464810004;
402;22510.0;13;3.0;1.3689967464810004;
404;22510.0;13;3.0;1.3689967464810004;
406;22510.0;13;3.0;1.3689967464810004;
408;22635.0;13;3.0;1.3689967464810004;
410;22635.0;13;3.0;1.3689967464810004;
412;22635.0;13;3.0;1.3689967464810004;
414;22635.0;13;3.0;1.3689967464810004;
416;22635.0;13;3.0;1.3689967464810004;
418;22635.0;13;3.0;1.3689967464810004;
420;22635.0;13;3.0;1.3689967464810004;
422;22635.0;13;3.0;1.3689967464810004;
424;22635.0;13;3.0;1.3689967464810004;
426;22635.0;13;3.0;1.3689967464810004;
428;22635.0;13;3.0;1.3689967464810004;
430;22635.0;13;3.0;1.3689967464810004;
432;22635.0;13;3.0;1.3689967464810004;
434;22635.0;13;3.0;1.3689967464810004;
436;22635.0;13;3.0;1.3689967464810004;
438;22635.0;13;3.0;1.3689967464810004;
440;22635.0;13;3.0;1.3689967464810004;
442;22635.0;13;3.0;1.3689967464810004;
444;22635.0;13;3.0;1.3689967464810004;
446;22635.0;13;3.0;1.3689967464810004;
448;22635.0;13;3.0;1.3689967464810004;
450;22635.0;13;3.0;1.3689967464810004;
452;22635.0;13;3.0;1.3689967464810004;
454;22635.0;13;3.0;1.3689967464810004;
456;22635.0;13;3.0;1.3689967464810004;
458;22635.0;13;3.0;1.3689967464810004;
460;22635.0;13;3.0;1.3689967464810004;
462;22635.0;13;3.0;1.3689967464810004;
464;22635.0;13;3.0;1.3689967464810004;
