epis;QTable;steps;cumReward;discountedRew;
0;0;106.83;0;0;
5;196;101.23;0;0;
10;312.6667;98.37;0;0;
15;538;97.9;0;0;
20;664;102.33;0;0;
25;820;96.01;0;0;
30;872.3333;86.71;0;0;
35;1033.6667;114.63;0;0;
40;1244.3333;107.75;0;0;
45;1363.3333;98.8;0;0;
50;1449.3333;100.67;0;0;
55;1514;88.13;0;0;
60;1628.6667;94.02;0;0;
65;1693.3333;103.96;0;0;
70;1776.6667;94.99;0;0;
75;1871;84.88;0;0;
80;1950.3333;109.21;0;0;
85;1998.6667;89.66;0;0;
90;2088.6667;93.69;0;0;
95;2188.6667;91.4;0;0;
100;2240;92.14;0;0;
105;2282.6667;94.93;0;0;
110;2374.3333;87.14;0;0;
115;2454.3333;102.76;0;0;
120;2530.6667;89.39;0;0;
125;2606.6667;101.26;0;0;
130;2712.3333;93.2;0;0;
135;2767;93.89;0;0;
140;2807.3333;86.4;0;0;
145;2910;91.8;0;0;
150;2948.3333;94.8;0;0;
155;2992.3333;77.15;0;0;
160;3063.6667;82.35;0;0;
165;3161.6667;81.05;0;0;
170;3211.6667;83.31;0;0;
175;3274.3333;84.58;0;0;
180;3321.6667;92.84;0;0;
185;3386.3333;104.4;0;0;
190;3482.3333;110.4;0;0;
195;3538.6667;90.99;0;0;
200;3604;74.94;0;0;
205;3637;91.29;0;0;
210;3665.3333;89.47;0;0;
215;3772.3333;84.42;0;0;
220;3836.6667;96.6;0;0;
225;3929.3333;77.26;0;0;
230;3969.6667;96.28;0;0;
235;4025.6667;89.01;0;0;
240;4074.6667;95.09;0;0;
245;4113;89.66;0;0;
250;4145.6667;100.9;0;0;
255;4205;102.38;0;0;
260;4240.3333;99.24;0;0;
265;4316.6667;92.09;0;0;
270;4363.3333;84.45;0;0;
275;4421;95.64;0;0;
280;4493.6667;89.56;0;0;
285;4543;88.62;0;0;
290;4631.3333;84.54;0;0;
295;4701;87.39;0;0;
300;4755.3333;99.21;0;0;
305;4811.6667;91.59;0;0;
310;4857;96.05;0;0;
315;4894.3333;96.54;0;0;
320;4928.3333;96.93;0;0;
325;4962;106.91;0;0;
330;4985.3333;92.15;0;0;
335;5055.6667;96.12;0;0;
340;5125;86.96;0;0;
345;5167;86.9;0;0;
350;5212;89.04;0;0;
355;5269;86.31;0;0;
360;5300.6667;97.16;0;0;
365;5341;77.33;0;0;
370;5375;77.43;0;0;
375;5405.3333;106;0;0;
380;5435;92.88;0;0;
385;5474.6667;81.99;0;0;
390;5511.6667;93.37;0;0;
395;5574.3333;92.93;0;0;
400;5606;85.8;0;0;
405;5627.6667;92.09;0;0;
410;5667;92.26;0;0;
415;5703.6667;97.61;0;0;
420;5731.6667;99.87;0;0;
425;5782;94.41;0;0;
430;5814.6667;85.79;0;0;
435;5877.3333;87.54;0;0;
440;5906;92.73;0;0;
445;5952;90.89;0;0;
450;5992.6667;83.86;0;0;
455;6049.6667;82.12;0;0;
460;6110.6667;93.94;0;0;
465;6133.3333;79.95;0;0;
470;6182.3333;90.63;0;0;
475;6215.6667;89.71;0;0;
480;6275;98.56;0;0;
485;6306;109.75;0;0;
490;6342.6667;89.63;0;0;
495;6385.6667;99.71;0;0;
500;6440;89.67;0;0;
505;6504.3333;88.12;0;0;
510;6521.3333;90.07;0;0;
515;6633.3333;87.98;0;0;
520;6696;89.2;0;0;
525;6729;92.83;0;0;
530;6758.3333;100.99;0;0;
535;6793.3333;95.29;0;0;
540;6863.3333;96.69;0;0;
545;6885;94.53;0;0;
550;6929;78.38;0;0;
555;6961;87.6;0;0;
560;7001.6667;74.55;0;0;
565;7066;71.34;0;0;
570;7085.6667;65.24;0;0;
575;7113;82.26;0;0;
580;7167;84.98;0;0;
585;7207.3333;78.95;0;0;
590;7263.3333;76.06;0;0;
595;7298;80.82;0;0;
600;7322;74.77;0;0;
605;7362.6667;84.72;0;0;
610;7403.6667;76.07;0;0;
615;7426.6667;73.83;0;0;
620;7439.6667;74.86;0;0;
625;7473;84.8;0;0;
630;7511.3333;62.12;0;0;
635;7535.6667;81.31;0;0;
640;7602;85.82;0;0;
645;7646.6667;85.8;0;0;
650;7662;80.25;0;0;
655;7698;83.71;0;0;
660;7757;79.83;0;0;
665;7803;88.68;0;0;
670;7829;79.07;0;0;
675;7842;77.8;0;0;
680;7882.6667;74.82;0;0;
685;7922.6667;81.63;0;0;
690;7971.3333;88.7;0;0;
695;8019;84.37;0;0;
700;8036.6667;81.31;0;0;
705;8054;72.67;0;0;
710;8063.3333;75.38;0;0;
715;8097.3333;81.61;0;0;
720;8111.3333;86.28;0;0;
725;8134.3333;74;0;0;
730;8175.3333;83.09;0;0;
735;8214.3333;70.41;0;0;
740;8248.6667;82.64;0;0;
745;8269;89.39;0;0;
750;8301.3333;73.29;0;0;
755;8338;78.22;0;0;
760;8351.6667;86.47;0;0;
765;8384.6667;79.03;0;0;
770;8440;82.92;0;0;
775;8470.6667;83.02;0;0;
780;8508;67.04;0;0;
785;8532;83.89;0;0;
790;8544.3333;76.71;0;0;
795;8568;85.65;0;0;
800;8583;82.14;0;0;
805;8611.3333;83.13;0;0;
810;8652.3333;81.61;0;0;
815;8679;69.93;0;0;
820;8722;87.98;0;0;
825;8776.6667;81.95;0;0;
830;8802;72.03;0;0;
835;8827.3333;72.51;0;0;
840;8855;72.63;0;0;
845;8889.3333;75.36;0;0;
850;8900.6667;82.67;0;0;
855;8930.3333;76.56;0;0;
860;8972.3333;84.13;0;0;
865;8989.6667;65.09;0;0;
870;9009;74.05;0;0;
875;9050;70.6;0;0;
880;9075;71.75;0;0;
885;9104;70.57;0;0;
890;9122.6667;75.73;0;0;
895;9155.6667;68.31;0;0;
900;9191.3333;80.79;0;0;
