epis;QTable;steps;cumReward;discountedRew;
0;0;107.57;0;0;
5;240.6667;90.82;0;0;
10;485.6667;79.48;0;0;
15;577;99.03;0;0;
20;702;78.93;0;0;
25;830;88.6;0;0;
30;975.6667;89.54;0;0;
35;1049;83.12;0;0;
40;1170.3333;79.55;0;0;
45;1285.3333;87.09;0;0;
50;1380;78.98;0;0;
55;1459.3333;76.52;0;0;
60;1541.3333;81;0;0;
65;1597;77.39;0;0;
70;1718.3333;93.88;0;0;
75;1815.3333;76.97;0;0;
80;1855.3333;71.41;0;0;
85;1923.3333;81.61;0;0;
90;2009.6667;90.23;0;0;
95;2095;89.57;0;0;
100;2173.6667;73.81;0;0;
105;2238.3333;69.41;0;0;
110;2290;68.23;0;0;
115;2376.6667;67.16;0;0;
120;2471.3333;74.2;0;0;
125;2525.3333;66.51;0;0;
130;2559.3333;81.58;0;0;
135;2634.6667;69.06;0;0;
140;2730;69.67;0;0;
145;2777.6667;77.11;0;0;
150;2838.6667;74.84;0;0;
155;2868.6667;76.16;0;0;
160;2913;71.68;0;0;
165;3023.3333;68.37;0;0;
170;3123.6667;63.79;0;0;
175;3168;74.02;0;0;
180;3230;62.54;0;0;
185;3291.6667;70.9;0;0;
190;3361.3333;64.5;0;0;
195;3428;74.06;0;0;
200;3535.6667;56.95;0;0;
205;3590.6667;70.04;0;0;
210;3725;73.77;0;0;
215;3756;76.78;0;0;
220;3820.3333;66.68;0;0;
225;3844;68.46;0;0;
230;3890.3333;76.35;0;0;
235;3954.3333;71.2;0;0;
240;3995;73.5;0;0;
245;4032.3333;72.67;0;0;
250;4076;73.62;0;0;
255;4133.6667;69.19;0;0;
260;4216.3333;76.24;0;0;
265;4304;58.39;0;0;
270;4384;64.51;0;0;
275;4417;63.91;0;0;
280;4494;66.13;0;0;
285;4582.6667;60.6;0;0;
290;4645.6667;76.99;0;0;
295;4713.6667;77.08;0;0;
300;4771.3333;82.06;0;0;
305;4834.6667;67.18;0;0;
310;4882;79.6;0;0;
315;4931.3333;65.72;0;0;
320;5010.3333;66.42;0;0;
325;5080;80.65;0;0;
330;5120.6667;71.65;0;0;
335;5181;69.84;0;0;
340;5202.3333;66.34;0;0;
345;5262.3333;84.44;0;0;
350;5307;71.52;0;0;
355;5357.3333;62.13;0;0;
360;5395;82.03;0;0;
365;5424.3333;67.8;0;0;
370;5480.6667;60.41;0;0;
375;5530.6667;69.76;0;0;
380;5574;67.47;0;0;
385;5653.3333;60.24;0;0;
390;5717.3333;74.09;0;0;
395;5769.6667;71.5;0;0;
400;5813;67.46;0;0;
405;5868;70.12;0;0;
410;5921.3333;62.92;0;0;
415;5969;66.4;0;0;
420;6027.3333;71.94;0;0;
425;6083.6667;72.13;0;0;
430;6104;71.85;0;0;
435;6141.3333;74.87;0;0;
440;6205.6667;66.56;0;0;
445;6226.3333;73.72;0;0;
450;6266;74.54;0;0;
455;6310.3333;61.32;0;0;
460;6353.3333;61.2;0;0;
465;6378;72.08;0;0;
470;6421.6667;73.94;0;0;
475;6469;77.77;0;0;
480;6479;74.91;0;0;
485;6549.3333;69.98;0;0;
490;6602.3333;66.77;0;0;
495;6638;74.08;0;0;
500;6735;60.19;0;0;
505;6788.3333;73.5;0;0;
510;6841.6667;77.59;0;0;
515;6883.6667;64.67;0;0;
520;6970;71.82;0;0;
525;7045.6667;73.66;0;0;
530;7127.6667;65.89;0;0;
535;7190;76.84;0;0;
540;7231.3333;76.27;0;0;
545;7265.6667;65.01;0;0;
550;7376.3333;67.58;0;0;
555;7417.3333;61.16;0;0;
560;7474;68.87;0;0;
565;7519.3333;69.1;0;0;
570;7556.3333;66.24;0;0;
575;7584.6667;65.19;0;0;
580;7622;67.51;0;0;
585;7715;70.64;0;0;
590;7768.3333;67.97;0;0;
595;7811.3333;60.94;0;0;
600;7885.3333;68.64;0;0;
605;7947;62.41;0;0;
610;7972.6667;78.15;0;0;
615;8028.6667;67.04;0;0;
620;8082;74.56;0;0;
625;8190;61.76;0;0;
630;8225;70.84;0;0;
635;8283.6667;66.77;0;0;
640;8347.6667;70.94;0;0;
645;8423.3333;64.25;0;0;
650;8475;74.44;0;0;
655;8498;63.04;0;0;
660;8616.3333;67.58;0;0;
665;8664.3333;67.75;0;0;
670;8729;69.98;0;0;
675;8788.6667;77.2;0;0;
680;8843.3333;67.01;0;0;
685;8876.6667;73.07;0;0;
690;8923.3333;73.95;0;0;
695;8983.3333;68.09;0;0;
700;9019.6667;62.47;0;0;
705;9057;77.78;0;0;
710;9084.6667;62.71;0;0;
715;9101.6667;79.33;0;0;
720;9166.3333;63.94;0;0;
725;9211.6667;84.28;0;0;
730;9267;96.5;0;0;
735;9316.3333;70.77;0;0;
740;9382;63.73;0;0;
745;9467;63.8;0;0;
750;9512.3333;81.52;0;0;
755;9534.6667;64.09;0;0;
760;9593.3333;68.94;0;0;
765;9638.6667;69.05;0;0;
770;9678.3333;62.25;0;0;
775;9712;81.84;0;0;
780;9754.3333;62.3;0;0;
785;9801.3333;65.13;0;0;
790;9812.3333;64.99;0;0;
795;9863;67.36;0;0;
800;9902;71.19;0;0;
