epis;QTable;steps;cumReward;discountedRew;
0;0;102.68;0;0;
5;169;99.18;0;0;
10;365.3333;92.8;0;0;
15;693.3333;89.05;0;0;
20;940.6667;94.83;0;0;
25;1128;85.04;0;0;
30;1344.3333;95.72;0;0;
35;1461.6667;82.73;0;0;
40;1603.3333;96.57;0;0;
45;1704.6667;82.17;0;0;
50;1877.3333;87.52;0;0;
55;2069;80.05;0;0;
60;2215.6667;70.65;0;0;
65;2418.6667;95.68;0;0;
70;2614.6667;88.19;0;0;
75;2781.6667;92.97;0;0;
80;2952.6667;94.95;0;0;
85;3131.3333;84.44;0;0;
90;3349.6667;89.04;0;0;
95;3445;96.06;0;0;
100;3661.3333;101.78;0;0;
105;3804.3333;81.49;0;0;
110;3962.3333;83;0;0;
115;4135;84.73;0;0;
120;4238.3333;84.17;0;0;
125;4407;73.2;0;0;
130;4540;88.09;0;0;
135;4674.6667;86.79;0;0;
140;4745.6667;74.08;0;0;
145;4863.6667;86.34;0;0;
150;5023.3333;100.04;0;0;
155;5077;84.31;0;0;
160;5141;81.29;0;0;
165;5321.6667;85.1;0;0;
170;5476.3333;84.23;0;0;
175;5587.3333;90.28;0;0;
180;5674;104.13;0;0;
185;5768.6667;85.71;0;0;
190;5992.3333;81.88;0;0;
195;6133.6667;83.31;0;0;
200;6220.6667;76.09;0;0;
205;6303;83.05;0;0;
210;6384.3333;78.88;0;0;
215;6584;76.28;0;0;
220;6703;87.88;0;0;
225;6826;87.03;0;0;
230;6969.6667;77.78;0;0;
235;7083;69.02;0;0;
240;7200.6667;86.77;0;0;
245;7297;74.3;0;0;
250;7377.3333;96.81;0;0;
255;7490.3333;95.71;0;0;
260;7628.6667;83.7;0;0;
265;7762.3333;79.07;0;0;
270;7857.3333;82.26;0;0;
275;8015.6667;83.99;0;0;
280;8119.6667;83.8;0;0;
285;8248.6667;85.19;0;0;
290;8321.6667;86.66;0;0;
295;8397.3333;83.19;0;0;
300;8511;66.71;0;0;
305;8625.6667;78.92;0;0;
310;8692.3333;84.02;0;0;
315;8794.6667;84.68;0;0;
320;8885.6667;93.28;0;0;
325;9036;99.75;0;0;
330;9081;90.74;0;0;
335;9191.6667;85.66;0;0;
340;9274;93.49;0;0;
345;9356.3333;89.02;0;0;
350;9480.3333;88.45;0;0;
355;9559.3333;88.57;0;0;
360;9669.6667;73.81;0;0;
365;9729.6667;97.1;0;0;
370;9862;83.51;0;0;
375;9933.3333;93.5;0;0;
380;10034;85.25;0;0;
385;10170;102.77;0;0;
390;10268;82.41;0;0;
395;10462.3333;90.05;0;0;
400;10590;78.47;0;0;
405;10697;82.84;0;0;
410;10748.3333;84.98;0;0;
415;10924.3333;79.17;0;0;
420;11032.6667;84.42;0;0;
425;11100;85.49;0;0;
430;11218.3333;85.45;0;0;
435;11292;77.44;0;0;
440;11430;92.24;0;0;
445;11547.3333;100.41;0;0;
450;11693;78.44;0;0;
455;11727.6667;88.17;0;0;
460;11812.3333;80.76;0;0;
465;11902.3333;94.86;0;0;
470;12022.3333;79.08;0;0;
475;12060.6667;93.45;0;0;
480;12174.6667;77.74;0;0;
485;12345;82.06;0;0;
490;12444.6667;76.43;0;0;
495;12507;82.57;0;0;
500;12647;72.8;0;0;
505;12729.6667;79.5;0;0;
510;12833.6667;96.47;0;0;
515;12922.3333;89.31;0;0;
520;13035.3333;85.18;0;0;
525;13140.6667;99.62;0;0;
530;13215.6667;69.78;0;0;
535;13281.3333;75.53;0;0;
540;13360.3333;80.14;0;0;
545;13532.3333;88.72;0;0;
550;13665;90.4;0;0;
555;13827;84.65;0;0;
560;13997;77;0;0;
565;14130.3333;85.01;0;0;
570;14256.3333;86.37;0;0;
575;14317.6667;84.83;0;0;
580;14420.6667;95.47;0;0;
585;14462;91.43;0;0;
590;14554;87.46;0;0;
595;14724.3333;86;0;0;
600;14827;89.2;0;0;
605;14885;96.55;0;0;
610;15000.3333;72.69;0;0;
615;15150;78.6;0;0;
620;15230;87.85;0;0;
625;15376.6667;88.76;0;0;
630;15440.3333;78.13;0;0;
635;15489.6667;97.7;0;0;
640;15601.6667;75.12;0;0;
645;15699.3333;85.7;0;0;
650;15774;84.08;0;0;
655;15837.6667;90.06;0;0;
660;15917.3333;85.85;0;0;
665;15985.6667;83.01;0;0;
670;16077.3333;82.79;0;0;
675;16217.3333;90.37;0;0;
680;16273.6667;81.3;0;0;
