epis;QTable;steps;cumReward;discountedRew;
0;0;109.79;0;0;
5;0;105.62;0;0;
10;0;106.25;0;0;
15;0;95.4;0;0;
20;0;112.38;0;0;
25;0;118.38;0;0;
30;0;103.18;0;0;
35;0;103.66;0;0;
40;0;110.82;0;0;
45;0;103.34;0;0;
50;0;103.14;0;0;
55;0;103.78;0;0;
60;0;100.12;0;0;
65;0;109.49;0;0;
70;0;96.45;0;0;
75;0;105.21;0;0;
80;0;105.47;0;0;
85;0;95.46;0;0;
90;0;98.97;0;0;
95;0;101.06;0;0;
100;0;96.59;0;0;
105;0;107.63;0;0;
110;0;102.58;0;0;
115;0;106.28;0;0;
120;0;98.88;0;0;
125;0;104.77;0;0;
130;0;111.42;0;0;
135;0;110.1;0;0;
140;0;90.51;0;0;
145;0;104.57;0;0;
150;0;93.73;0;0;
155;0;97.88;0;0;
160;0;92.02;0;0;
165;0;99.67;0;0;
170;0;105.63;0;0;
175;0;95.93;0;0;
180;0;104.85;0;0;
185;0;114.76;0;0;
190;0;98.95;0;0;
195;0;103.2;0;0;
200;0;110.87;0;0;
205;0;98.89;0;0;
210;0;106.19;0;0;
215;0;105.82;0;0;
220;0;87.63;0;0;
225;0;111.44;0;0;
230;0;111.96;0;0;
235;0;111.3;0;0;
240;0;110.62;0;0;
245;0;104.79;0;0;
250;0;97.41;0;0;
255;0;98.89;0;0;
260;0;105.3;0;0;
265;0;112.42;0;0;
270;0;116.92;0;0;
275;0;107.64;0;0;
280;0;109.51;0;0;
285;0;105.42;0;0;
290;0;98.79;0;0;
295;0;110.09;0;0;
300;0;106.19;0;0;
305;0;99.41;0;0;
310;0;92.1;0;0;
315;0;89.2;0;0;
320;0;99.51;0;0;
325;0;114.73;0;0;
330;0;104.84;0;0;
335;0;96.99;0;0;
340;0;96.07;0;0;
345;0;98.06;0;0;
350;0;113.73;0;0;
355;0;94.08;0;0;
360;0;94.97;0;0;
365;0;108.14;0;0;
370;0;102.53;0;0;
375;0;103.1;0;0;
380;0;109.05;0;0;
385;0;92.21;0;0;
390;0;95.62;0;0;
395;0;89.02;0;0;
400;0;108.58;0;0;
405;0;103.56;0;0;
410;0;102.07;0;0;
415;0;103.29;0;0;
420;0;102.79;0;0;
425;0;99.05;0;0;
430;0;113.68;0;0;
435;0;97.15;0;0;
440;0;94.87;0;0;
445;0;86.54;0;0;
450;0;104.65;0;0;
455;0;95.1;0;0;
460;0;99.66;0;0;
465;0;93.35;0;0;
470;0;82.72;0;0;
475;0;110.94;0;0;
480;0;104.98;0;0;
485;0;122.38;0;0;
490;0;103.98;0;0;
495;0;98.15;0;0;
500;0;96.79;0;0;
505;0;106.53;0;0;
510;0;104.63;0;0;
515;0;103.33;0;0;
520;0;109.41;0;0;
525;0;87.42;0;0;
530;0;98.57;0;0;
535;0;106.91;0;0;
540;0;105.01;0;0;
545;0;91.38;0;0;
550;0;86.84;0;0;
555;0;110.41;0;0;
560;0;95.83;0;0;
565;0;113.98;0;0;
570;0;100.24;0;0;
575;0;92.23;0;0;
580;0;112.1;0;0;
585;0;96.8;0;0;
590;0;101.83;0;0;
595;0;101.14;0;0;
600;0;99.41;0;0;
605;0;94.37;0;0;
610;0;97.83;0;0;
615;0;102.72;0;0;
620;0;98.45;0;0;
625;0;93.95;0;0;
630;0;110.32;0;0;
635;0;96.65;0;0;
640;0;102.72;0;0;
645;0;103.09;0;0;
650;0;104.27;0;0;
655;0;105.3;0;0;
660;0;97.72;0;0;
665;0;125.35;0;0;
670;0;97.01;0;0;
675;0;89.16;0;0;
680;0;101.37;0;0;
685;0;97.99;0;0;
690;0;109.4;0;0;
695;0;97.23;0;0;
700;0;100.24;0;0;
705;0;103.03;0;0;
710;0;103.88;0;0;
715;0;96.39;0;0;
720;0;106.97;0;0;
725;0;90.03;0;0;
730;0;106.06;0;0;
735;0;106.67;0;0;
740;0;97.12;0;0;
745;0;105.65;0;0;
750;0;101.83;0;0;
755;0;92.65;0;0;
760;0;103;0;0;
765;0;89.6;0;0;
770;0;104.55;0;0;
775;0;98.14;0;0;
780;0;92.65;0;0;
785;0;102.3;0;0;
790;0;114.48;0;0;
795;0;98.24;0;0;
800;0;106.34;0;0;
805;0;96.55;0;0;
810;0;125.36;0;0;
815;0;111.22;0;0;
820;0;124.98;0;0;
825;0;107.14;0;0;
830;0;89.37;0;0;
835;0;93.53;0;0;
840;0;109.99;0;0;
845;0;83.59;0;0;
850;0;119.7;0;0;
855;0;115.91;0;0;
860;0;96.84;0;0;
865;0;112;0;0;
870;0;96.36;0;0;
875;0;95.55;0;0;
880;0;102.39;0;0;
885;0;94.98;0;0;
890;0;89.36;0;0;
895;0;97.31;0;0;
900;0;106.48;0;0;
905;0;102.83;0;0;
910;0;115.71;0;0;
915;0;101.51;0;0;
920;0;112.22;0;0;
925;0;103.84;0;0;
930;0;99.95;0;0;
935;0;104.4;0;0;
940;0;104.29;0;0;
945;0;97.79;0;0;
950;0;113.71;0;0;
955;0;114.5;0;0;
960;0;97.32;0;0;
965;0;106.83;0;0;
970;0;91.69;0;0;
975;0;89.03;0;0;
980;0;102.32;0;0;
985;0;99.89;0;0;
990;0;106.12;0;0;
995;0;102.18;0;0;
1000;0;98.83;0;0;
1005;0;98.42;0;0;
1010;0;98.25;0;0;
1015;0;98.19;0;0;
1020;0;103.43;0;0;
1025;0;107.88;0;0;
1030;0;113.84;0;0;
1035;0;111.66;0;0;
1040;0;102.91;0;0;
1045;0;100.46;0;0;
1050;0;103.85;0;0;
1055;0;93.18;0;0;
1060;0;92.25;0;0;
1065;0;98.75;0;0;
1070;0;98.92;0;0;
1075;0;105.07;0;0;
1080;0;107.47;0;0;
1085;0;103.64;0;0;
1090;0;107.08;0;0;
1095;0;87.32;0;0;
1100;0;93.67;0;0;
1105;0;114.39;0;0;
1110;0;107.19;0;0;
1115;0;94.16;0;0;
1120;0;91.39;0;0;
1125;0;97.57;0;0;
1130;0;105.76;0;0;
1135;0;98.96;0;0;
1140;0;84.14;0;0;
1145;0;111.97;0;0;
1150;0;107.77;0;0;
1155;0;90.33;0;0;
1160;0;94.42;0;0;
1165;0;94.74;0;0;
1170;0;103.63;0;0;
1175;0;94.39;0;0;
1180;0;99.12;0;0;
1185;0;111.47;0;0;
1190;0;116.51;0;0;
1195;0;87.91;0;0;
1200;0;95.06;0;0;
1205;0;103.22;0;0;
1210;0;98.17;0;0;
1215;0;103.01;0;0;
1220;0;112.93;0;0;
1225;0;92.63;0;0;
1230;0;94.58;0;0;
1235;0;106.4;0;0;
1240;0;82.15;0;0;
1245;0;107.45;0;0;
1250;0;113.91;0;0;
1255;0;108.49;0;0;
1260;0;105.14;0;0;
1265;0;108.8;0;0;
1270;0;103.35;0;0;
1275;0;100.23;0;0;
1280;0;107.08;0;0;
1285;0;107.76;0;0;
1290;0;94.74;0;0;
1295;0;79.18;0;0;
1300;0;88.09;0;0;
1305;0;101.82;0;0;
1310;0;104.5;0;0;
1315;0;102.45;0;0;
1320;0;103.84;0;0;
1325;0;98.11;0;0;
1330;0;112.2;0;0;
1335;0;103.5;0;0;
1340;0;112.86;0;0;
1345;0;101.55;0;0;
1350;0;106.72;0;0;
1355;0;96.67;0;0;
1360;0;87.49;0;0;
1365;0;97.66;0;0;
1370;0;100.66;0;0;
1375;0;95.14;0;0;
1380;0;95.31;0;0;
1385;0;94.52;0;0;
1390;0;101.53;0;0;
1395;0;99.57;0;0;
1400;0;98.28;0;0;
1405;0;94.62;0;0;
1410;0;91.84;0;0;
1415;0;112.31;0;0;
1420;0;95.87;0;0;
1425;0;99.99;0;0;
1430;0;101.54;0;0;
1435;0;108.31;0;0;
1440;0;109.93;0;0;
1445;0;108.81;0;0;
1450;0;103.56;0;0;
1455;0;108.88;0;0;
1460;0;100.52;0;0;
1465;0;101.98;0;0;
1470;0;98.32;0;0;
1475;0;102.25;0;0;
1480;0;98.5;0;0;
1485;0;121.49;0;0;
1490;0;93.89;0;0;
1495;0;105.34;0;0;
1500;0;104.55;0;0;
