epis;QTable;steps;cumReward;discountedRew;
0;0;102;0;0;
5;362;91.94;0;0;
10;737;88.78;0;0;
15;1103;85.16;0;0;
20;1580;91.02;0;0;
25;2253;91.59;0;0;
30;2600;99.23;0;0;
35;2962;96.64;0;0;
40;3219;85.02;0;0;
45;3584;86.51;0;0;
50;3948;92.74;0;0;
55;4431;85.42;0;0;
60;4728;98.21;0;0;
65;5081;98.5;0;0;
70;5753;102.18;0;0;
75;6161;83.66;0;0;
80;6553;78.3;0;0;
85;6847;67.07;0;0;
90;7223;100.43;0;0;
95;7517;86.38;0;0;
100;7893;86.39;0;0;
105;8224;94.03;0;0;
110;8417;84.09;0;0;
115;8524;89.71;0;0;
120;8728;90.55;0;0;
125;8939;89.41;0;0;
130;9182;96.63;0;0;
135;9488;84.96;0;0;
140;9854;89.85;0;0;
145;10241;86.37;0;0;
150;10702;85.32;0;0;
155;10800;85.82;0;0;
160;11175;81.5;0;0;
165;11488;106.19;0;0;
170;11672;78.39;0;0;
175;12129;79.05;0;0;
180;12407;109.87;0;0;
185;12613;89.01;0;0;
190;12923;87.89;0;0;
195;13159;93.38;0;0;
200;13760;86.72;0;0;
205;14076;81.74;0;0;
210;14478;73.12;0;0;
215;14836;91.43;0;0;
220;15168;90.5;0;0;
225;15501;101.56;0;0;
230;15908;87.93;0;0;
235;16262;73.31;0;0;
240;16476;75.75;0;0;
245;16674;86.43;0;0;
250;16997;89.68;0;0;
255;17533;91.49;0;0;
260;17788;82.24;0;0;
265;18211;92.05;0;0;
270;18439;86.19;0;0;
275;18851;90.22;0;0;
280;19254;97.95;0;0;
285;19532;92.78;0;0;
290;19665;84.69;0;0;
295;20020;90.58;0;0;
300;20233;94.01;0;0;
305;20474;97.35;0;0;
310;20745;99.71;0;0;
315;21031;92.81;0;0;
320;21577;77.65;0;0;
325;21887;94.64;0;0;
330;22066;81.82;0;0;
335;22468;86.57;0;0;
340;22797;94.92;0;0;
345;23001;96.94;0;0;
350;23348;81.34;0;0;
355;23560;89.68;0;0;
360;23833;71.84;0;0;
365;24123;85.89;0;0;
370;24394;74.05;0;0;
375;24794;82.34;0;0;
380;25073;87.04;0;0;
385;25293;75.55;0;0;
390;25619;91.72;0;0;
395;25824;80.07;0;0;
400;26167;71.79;0;0;
405;26447;87.77;0;0;
410;26668;80.59;0;0;
415;26880;81.38;0;0;
420;27223;86.12;0;0;
425;27581;90.46;0;0;
430;27747;83.13;0;0;
435;28249;89.4;0;0;
440;28429;90.75;0;0;
445;28744;81.84;0;0;
450;28955;98.26;0;0;
455;29311;83.94;0;0;
460;29599;93.83;0;0;
465;29795;98.66;0;0;
470;30091;71.1;0;0;
475;30405;81.54;0;0;
480;30674;83.38;0;0;
485;30876;94.57;0;0;
490;31178;84.96;0;0;
495;31343;91.85;0;0;
500;31585;97.89;0;0;
505;31796;69.71;0;0;
510;31989;79.01;0;0;
515;32171;87.63;0;0;
520;32510;106.57;0;0;
525;32827;80.99;0;0;
530;32969;79.27;0;0;
535;33222;92.68;0;0;
540;33502;82.05;0;0;
545;33664;100.14;0;0;
550;34100;87.48;0;0;
555;34380;90.62;0;0;
560;34637;84.96;0;0;
565;34772;87.9;0;0;
570;35062;79.64;0;0;
575;35568;81.81;0;0;
580;35877;87.83;0;0;
585;36057;86.9;0;0;
590;36308;78.61;0;0;
595;36468;89.96;0;0;
600;36657;82.86;0;0;
605;37026;95.65;0;0;
610;37323;75.54;0;0;
615;37487;87.12;0;0;
620;37748;94.2;0;0;
625;37926;89.41;0;0;
630;38179;65.53;0;0;
635;38538;83.68;0;0;
640;38723;84.3;0;0;
645;39083;80.17;0;0;
650;39284;88.05;0;0;
655;39473;78.24;0;0;
660;39650;81.58;0;0;
665;39707;77.23;0;0;
670;39853;80.08;0;0;
675;39999;77.72;0;0;
680;40345;62.56;0;0;
685;40580;73.45;0;0;
690;40790;72.47;0;0;
695;40902;84.12;0;0;
700;41082;74.97;0;0;
705;41373;78.45;0;0;
710;41779;90.65;0;0;
715;42084;79.93;0;0;
720;42287;68.85;0;0;
725;42359;83.64;0;0;
730;42486;87.81;0;0;
735;42754;86.94;0;0;
740;42936;78.72;0;0;
745;43070;82.26;0;0;
750;43278;70.13;0;0;
755;43599;76.66;0;0;
760;43737;77.44;0;0;
765;43920;89.56;0;0;
770;44086;84.87;0;0;
775;44236;87.78;0;0;
780;44469;85;0;0;
785;44729;72.66;0;0;
790;45005;85.46;0;0;
795;45188;81.81;0;0;
800;45308;93.57;0;0;
805;45659;91.26;0;0;
810;45986;96.86;0;0;
815;46226;87.6;0;0;
820;46487;86.16;0;0;
825;46643;80.74;0;0;
830;46786;72.36;0;0;
835;46931;82.92;0;0;
840;47131;78.89;0;0;
845;47334;76.94;0;0;
850;47603;76.56;0;0;
855;47833;72.08;0;0;
860;48107;73.49;0;0;
865;48305;68.33;0;0;
870;48536;76.67;0;0;
875;48865;70.72;0;0;
880;49034;72.79;0;0;
885;49297;81.88;0;0;
890;49458;75.59;0;0;
895;49737;76.28;0;0;
900;49899;94.33;0;0;
905;50228;89.95;0;0;
910;50352;86.13;0;0;
915;50438;91.81;0;0;
920;50648;87.89;0;0;
925;50856;90.19;0;0;
930;51148;87.2;0;0;
935;51350;73.98;0;0;
940;51554;79.44;0;0;
945;51824;85.91;0;0;
950;52027;81.16;0;0;
955;52262;68.98;0;0;
960;52610;78.04;0;0;
965;52693;84.06;0;0;
970;52964;77.8;0;0;
975;53173;73.52;0;0;
980;53440;78.69;0;0;
985;53695;82.05;0;0;
990;53786;76.16;0;0;
995;54104;78.95;0;0;
1000;54274;72.11;0;0;
1005;54586;99.74;0;0;
1010;54685;91.33;0;0;
1015;54874;78.17;0;0;
1020;55068;67.19;0;0;
1025;55278;81.9;0;0;
1030;55510;92.14;0;0;
1035;55719;79.1;0;0;
1040;55893;90.23;0;0;
1045;56106;75.64;0;0;
1050;56532;67.92;0;0;
1055;56939;72.55;0;0;
1060;57146;77.24;0;0;
1065;57323;86.74;0;0;
1070;57562;79.3;0;0;
1075;57753;92.51;0;0;
1080;57906;76.17;0;0;
1085;58279;72.6;0;0;
1090;58615;71.19;0;0;
1095;58883;66.29;0;0;
